JobID         AllocCPUS    Elapsed 
------------ ---------- ---------- 
28750347              1   00:09:10 
28750348              1   00:09:09 
28750349              1   00:10:06 
28750350              1   00:09:10 
28750351              1   00:09:05 
28750352              1   00:09:09 
28750353              1   00:09:06 
28750354              1   00:09:05 
28750355              1   00:09:05 
28750356              1   00:09:08 
28750357              1   00:09:05 
28750358              1   00:09:09 
28750359              1   00:09:05 
28750360              1   00:09:09 
28750361              1   00:09:22 
28750362              1   00:09:09 
28750363              1   00:09:04 
28750364              1   00:09:08 
28750365              1   00:09:09 
28750366              1   00:09:10 
28750367              1   00:09:08 
28750368              1   00:09:09 
28750369              1   00:09:08 
28750370              1   00:09:23 
28750371              1   00:09:08 
28750372              1   00:09:13 
28750373              1   00:09:07 
28750374              1   00:09:06 
28750375              1   00:09:06 
28750376              1   00:09:12 
28750377              1   00:09:07 
28750378              1   00:09:08 
28750379              1   00:09:04 
28750380              1   00:09:14 
28750381              1   00:09:05 
28750382              1   00:09:08 
28750383              1   00:09:05 
28750384              1   00:09:08 
28750385              1   00:09:11 
28750386              1   00:09:08 
28750387              1   00:09:20 
28750388              1   00:09:12 
28750389              1   00:09:05 
28750390              1   00:09:08 
28750391              1   00:09:09 
28750392              1   00:09:11 
28750393              1   00:09:11 
28750394              1   00:09:08 
28750395              1   00:09:09 
28750396              1   00:09:12 
28750397              1   00:09:20 
28750398              1   00:09:16 
28750399              1   00:09:17 
28750400              1   00:09:22 
28750401              1   00:09:19 
28750402              1   00:09:17 
28750403              1   00:09:16 
28750404              1   00:09:18 
28750405              1   00:09:16 
28750406              1   00:09:18 
28750407              1   00:09:19 
28750408              1   00:09:17 
28750409              1   00:09:17 
28750410              1   00:09:17 
28750411              1   00:09:13 
28750412              1   00:09:10 
28750413              1   00:09:11 
28750414              1   00:09:10 
28750415              1   00:09:16 
28750416              1   00:09:12 
28750417              1   00:09:12 
28750418              1   00:09:11 
28750419              1   00:09:10 
28750420              1   00:09:10 
28750421              1   00:09:10 
28750422              1   00:09:10 
28750423              1   00:09:12 
28750424              1   00:09:12 
